route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000048,OCESN3605F2544178:2023-09-06T00:34:27Z,3605,1,68,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000043,OCESN3605F2544180:2023-09-13T00:38:32Z,3605,1,69,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000049,OCESN3605F2595453:2023-09-13T00:38:32Z,3605,1,70,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000050,OCESN3605F2596596:2023-09-16T00:34:29Z,3605,1,71,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000038,OCESN3614F2528875:2023-09-09T00:34:34Z,3614,0,72,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000051,OCESN3614F2528909:2023-10-07T00:44:23Z,3614,0,73,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000052,OCESN3614F2528943:2023-08-29T11:49:37Z,3614,0,74,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000053,OCESN3614F2529037:2023-10-09T00:43:50Z,3614,0,75,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000054,OCESN3614F2529099:2023-10-09T00:43:50Z,3614,0,76,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000025,OCESN3614F2529124:2023-10-09T00:43:50Z,3614,0,77,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000055,OCESN3614F2529331:2023-10-09T00:43:50Z,3614,0,78,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000056,OCESN3614F2529384:2023-08-29T11:49:37Z,3614,0,79,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000057,OCESN3614F2536324:2023-08-29T11:49:37Z,3614,0,80,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000042,OCESN3614F2662216:2023-10-06T00:53:43Z,3614,0,81,
